Event,Particle,Px,Py,Pz,Energy,Mass,PID
4184,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4184,Electron+,-36.17479705810547,-6.9542741775512695,26.426830291748047,45.33602523803711,0.0005109999910928309,-11
4184,Electron-,-13.69534683227539,-2.6323142051696777,10.005517959594727,17.163972854614258,0.0005109999910928309,11
4184,Photon,49.87014389038086,9.586588859558105,-36.432350158691406,62.5,0.0,22
4185,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4185,Muon+,6.55210542678833,-14.809247016906738,12.450887680053711,20.42742347717285,0.10565999895334244,-13
4185,Muon-,20.022748947143555,-38.96204376220703,-3.7706594467163086,43.96794891357422,0.10565999895334244,13
4185,Photon,-26.57485580444336,53.77128982543945,-8.680227279663086,60.60462951660156,0.0,22
4186,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4186,Muon+,-3.0091395378112793,-10.694793701171875,16.555313110351562,19.93798065185547,0.10565999895334244,-13
4186,Muon-,-7.348970413208008,-22.444820404052734,35.41067123413086,42.564117431640625,0.10565999895334244,13
4186,Photon,10.358110427856445,33.13961410522461,-51.965980529785156,62.497901916503906,0.0,22
4187,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4187,Z Boson,6.622145175933838,-1.7816886901855469,-29.01021957397461,95.19026947021484,90.40225219726562,23
4187,Muon+,35.12199020385742,22.047204971313477,-38.78175354003906,56.77736282348633,0.10565999895334244,-13
4187,Muon-,-28.49984359741211,-23.828893661499023,9.771533012390137,38.412906646728516,0.10565999895334244,13
4187,Photon,-6.622145175933838,1.7816886901855469,29.01021957397461,29.809730529785156,0.0,22
4188,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4188,Muon+,3.1803343296051025,-8.859549522399902,-2.5581846237182617,9.755082130432129,0.10565999895334244,-13
4188,Muon-,26.728702545166016,-42.83407974243164,-15.56301212310791,52.83370590209961,0.10565999895334244,13
4188,Photon,-29.90903663635254,51.69363021850586,18.121196746826172,62.41121292114258,0.0,22
4189,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4189,Electron+,-21.709177017211914,8.164280891418457,-16.877016067504883,28.684099197387695,0.0005109999910928309,-11
4189,Electron-,-25.58956527709961,9.634617805480957,-19.896318435668945,33.81590270996094,0.0005109999910928309,11
4189,Photon,47.298744201660156,-17.798898696899414,36.77333450317383,62.5,0.0,22
4190,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4190,Electron+,39.55390930175781,-18.349811553955078,34.569602966308594,55.64427185058594,0.0005109999910928309,-11
4190,Electron-,-1.2552564144134521,3.1128427982330322,8.863449096679688,9.477668762207031,0.0005109999910928309,11
4190,Photon,-38.29865264892578,15.236968994140625,-43.43305206298828,59.87805938720703,0.0,22
4191,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4191,Muon+,-44.091583251953125,-12.133152961730957,-11.261621475219727,47.09688186645508,0.10565999895334244,-13
4191,Muon-,-13.264701843261719,-3.1191704273223877,-7.632178783416748,15.618670463562012,0.10565999895334244,13
4191,Photon,57.356285095214844,15.252323150634766,18.893800735473633,62.284446716308594,0.0,22
4192,Higgs,0.0,0.0,9.9999998245167e-15,125.0,125.0,25
4192,Muon+,-9.065223693847656,2.4207427501678467,-26.75994300842285,28.357431411743164,0.10565999895334244,-13
4192,Muon-,-13.849014282226562,1.8199536800384521,-31.194122314453125,34.1788215637207,0.10565999895334244,13
