Event,Particle,Px,Py,Pz,Energy,Mass,PID,Vx,Vy,Vz
2148,Z Boson,3.552713678800501e-15,-1.6653345369377348e-16,-1.7763568394002505e-15,91.6342579245347,91.6342544555664,23,3.8770583832591684e-17,-1.817371117152735e-18,-1.9385291916295842e-17
2148,Electron+,-0.5195293515642749,19.751843815772965,41.33768418221579,45.81712796230932,0.0005109999910928,-11,-0.011339195071145815,0.43110174500727066,0.9022321132005814
2148,Electron-,0.5195293696692413,-19.75184476117138,-41.33768226550909,45.8171301050435,0.0005109999910928,11,0.011339194936001723,-0.43110174548006264,-0.9022320291719598
2148,Photon,32.46240880431401,14.838780230106355,16.779118852987395,39.4402865666764,0.0,22,0.8230774071439408,0.37623408757490695,0.4254309568623745
2160,Higgs,27.17612944908041,-15.432213303127126,22.93425458395063,130.8727444985695,125.0,25,0.20765308738044735,-0.1179177021331268,0.17524087747851358
2160,Z Boson,-3.552713678800501e-15,4.440892098500626e-16,-3.552713678800501e-15,92.10838924358428,92.10839080810548,23,-3.8571010827311385e-17,4.821376353413923e-18,-3.8571010827311385e-17
2160,Electron+,-15.030122367966012,41.11133109639277,14.31582349666123,46.054195233686976,0.0005109999910928,-11,-0.32635729039885647,0.8926728800229109,0.31084732724174763
2160,Electron-,15.030123840801288,-41.11133112042672,-14.315822984106518,46.05419440839065,0.0005109999910928,11,0.3263573282276964,-0.8926728965415713,-0.3108473216827848
2160,Photon,27.17612944908041,-15.432213303127126,22.934254583950626,38.764355254985205,0.0,22,0.7010597563230587,-0.3981031853004314,0.5916325560709852
2242,Higgs,-30.44151133768621,-25.613058066276963,9.15382630963746,131.49717446445746,125.0,25,-0.23149935701404967,-0.19478029220468118,0.06961234221889429
2242,Z Boson,3.552713678800501e-15,2.4424906541753444e-15,0.0,90.6742998768348,90.67430114746094,23,3.9181043400679596e-17,2.6936967337967225e-17,0.0
2242,Muon+,31.20675245821265,32.886827139725185,0.2032892305934863,45.33714960283631,0.1056599989533424,-13,0.6883263004311224,0.7253836517694922,0.004483943793872044
2242,Muon-,-31.20675246028477,-32.88682714146864,-0.203288991551815,45.33715029145803,0.1056599989533424,13,-0.6883262900219035,-0.7253836407901634,-0.004483938453231735
2242,Photon,-30.44151040868501,-25.613057284628468,9.15382603028484,40.822870574647375,0.0,22,-0.7456974480278317,-0.6274193099133797,0.22423278670583566
2281,Higgs,19.64426341672557,-4.212757171263871,30.89964696148904,130.32049950224405,125.0,25,0.15073809179489298,-0.03232612817902321,0.23710503780686448
2281,Z Boson,0.0,1.9428902930940242e-16,0.0,93.46358132807134,93.4635772705078,23,0.0,2.0787672219344824e-18,0.0
2281,Muon+,-39.63472918102716,4.771200327927694,-24.29347053236977,46.731790061086805,0.1056599989533424,-13,-0.8481320559134903,0.10209752979055334,-0.5198489187042452
2281,Muon-,39.63473149528665,-4.771200210673023,24.293470626006872,46.73178797528563,0.1056599989533424,13,0.8481321432907233,-0.10209753183842013,0.5198489439106121
2281,Photon,19.64426371647324,-4.212757235545444,30.899647432980224,36.85692016270572,0.0,22,0.5329871196441045,-0.11430030553144785,0.8383675927498289
2350,Higgs,27.30200019684022,-26.58016457013736,-0.0793665860109791,130.6786541956215,125.0,25,0.20892471203422444,-0.20340096654460305,-0.0006073416236149021
2350,Z Boson,3.552713678800501e-15,-9.992007221626409e-16,1.3877787807814457e-17,92.57470601338734,92.57470703125,23,3.837672115628149e-17,-1.0793452825204168e-17,1.4990906701672456e-19
2350,Muon+,-0.6598040943205081,34.92480315425954,30.36989839280932,46.28735362147268,0.1056599989533424,-13,-0.01425452186608537,0.7545214928437374,0.6561165419213065
