Event,Angle (rad)
709.0,0.599692376570035
711.0,1.7451845746218095
713.0,2.5895569499101816
714.0,1.796318952515716
716.0,2.465494664165651
718.0,1.1737488764790376
719.0,2.3265497698485986
720.0,0.8173862891875917
724.0,0.5427058582391844
727.0,1.0864150493369742
729.0,1.8483290845674647
730.0,2.1086249733420375
733.0,1.4986524523858125
737.0,2.2604247800401462
740.0,1.3794295703957014
744.0,1.4961162336189426
745.0,0.21946031790628143
748.0,0.6259513910314249
749.0,1.2323076774689357
750.0,2.7229874035420947
751.0,1.4147899539886624
752.0,0.4034314316209353
756.0,1.3257543202640056
757.0,2.863950371962568
762.0,2.1355751299265417
763.0,1.9623038738081109
764.0,1.0301242937059774
765.0,1.4592663495722655
766.0,0.8868371506689516
770.0,1.2112114684830055
772.0,1.2106908727653334
774.0,2.818878767370835
775.0,2.413627585732621
777.0,1.0381521981357924
779.0,2.293642662409837
780.0,2.5549609449444413
781.0,1.7650708142901506
783.0,2.6402029988977005
784.0,2.0632964001680083
785.0,1.222951969360417
786.0,1.0506297746423476
787.0,1.6895972251905877
788.0,0.913945240907348
790.0,1.2308450965279558
793.0,1.185558816290753
796.0,1.7594586101299075
800.0,0.8156379707146248
801.0,3.081339190227024
802.0,0.4688865559449426
804.0,1.6119907485166936
805.0,1.398925803443086
806.0,0.13094595428926215
810.0,1.6495046676121832
812.0,1.3905044079642948
814.0,1.5210719959790506
816.0,1.1570381847484486
817.0,0.6246043431995147
819.0,0.7580652479986689
820.0,2.1963723477688535
821.0,1.6552771677347302
822.0,1.9749574243831998
823.0,0.8034923553635407
826.0,1.5456699846254534
828.0,1.0407594791822723
834.0,0.839970017239567
837.0,1.5640226248523943
838.0,2.351710086526111
840.0,2.749397537171297
841.0,2.570945930474041
846.0,2.075807509345316
850.0,1.9151339488965655
854.0,1.182509954808758
856.0,0.7449018774112537
858.0,1.4462766669132263
860.0,2.2148181252882764
863.0,1.6656946483633708
864.0,2.135880603120561
865.0,1.847201494136167
866.0,0.7028408419344306
867.0,2.4208034675460395
870.0,2.5399513155627473
872.0,2.438738432698501
875.0,1.4399489786534259
876.0,0.8210694765838972
878.0,1.6999880154731677
879.0,2.481079067110185
881.0,1.2810239058087614
892.0,0.7410041393373562
895.0,2.254363905910441
896.0,0.9380678718379474
897.0,1.574160947994181
899.0,1.6961160662597448
900.0,2.2081824561712255
902.0,2.3037798320688307
906.0,1.3586764369886823
912.0,1.3431532086742906
913.0,2.3045606343312453
914.0,1.7879892945526226
915.0,2.0954419329068212
916.0,1.2787654715553045
919.0,1.5452682543706688
927.0,0.7983304379783319
929.0,2.0468621388781
930.0,1.3056859851379032
931.0,1.8778459858965464
934.0,1.9993900209226632
935.0,1.4493567979203932
939.0,1.438291792739839
941.0,1.8198391355048134
942.0,0.8490415475437694
943.0,1.615058793014224
944.0,2.860414816603185
950.0,1.2138186697117561
951.0,1.694073159961478
